,molecule_chembl_id,smiles,type,pchembl_value_average,standard_value_average,pchembl_ave_fromStandard,diff
45,CHEMBL3356915,O=C(Nc1ccccc1)[C@H](CCCCCS)NC(=O)[C@H]1CCCNC1=O,IC50,9.00,1.00,9.00,0.00
46,CHEMBL3356916,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@@H]2CCCC(=O)N2)c1,IC50,9.00,1.00,9.00,0.00
47,CHEMBL3356918,O=C1CC[C@@H](C(=O)N[C@@H](CCCCCS)C(=O)Nc2ccccc2)N1,IC50,9.00,1.00,9.00,0.00
48,CHEMBL2048746,O=C(/C=C/c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1)NO,IC50,9.00,1.00,9.00,0.00
49,CHEMBL3356924,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@H]2CCC(=O)N2C)c1,IC50,9.00,1.00,9.00,0.00
50,CHEMBL3655993,O=C(NO)c1cnc(NC2(c3c(F)cccc3F)CC2)nc1,IC50,9.00,1.00,9.00,0.00
51,CHEMBL4095596,CC(CCCCCC(=O)NO)n1cc(-c2ncnc3[nH]ccc23)cn1,IC50,9.00,1.00,9.00,0.00
52,CHEMBL2018300,CN1CCc2c(c3cc(Cl)ccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,8.99,1.02,8.99,0.00
53,CHEMBL4288953,Cc1ccc(-c2nc(NCc3ccc(C(=O)NO)cc3)cc3c2[nH]c2ccccc23)cc1,IC50,8.96,1.10,8.96,-0.00
54,CHEMBL4286867,O=C(CCCCCCC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)NO,IC50,8.92,1.20,8.92,0.00
55,CHEMBL4441675,Cc1c(CN(C)C)c2ccccc2n1-c1ccc(C(=O)NO)cc1,IC50,8.90,1.25,8.90,0.00
56,CHEMBL4292609,CCCN1CC(=O)N2Cc3c(c4cc(OCc5ccccc5)ccc4n3Cc3ccc(C(=O)NO)cc3)CC2C1=O,IC50,8.90,1.25,8.90,0.00
58,CHEMBL519491,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(-c3ccccc3)nn2)cc1)NO,IC50,8.89,1.30,8.89,-0.00
59,CHEMBL2018451,CN1CCc2c(n(Cc3ccc(C(=O)NO)cc3)c3ccccc23)C1,IC50,8.85,1.40,8.85,0.00
60,CHEMBL4060201,O=C(CCCCCCn1cc(-c2ncnc3[nH]ccc23)cn1)NO,IC50,8.85,1.40,8.85,0.00
61,CHEMBL2018443,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CN(Cc2ccccc2)CC3)cc1,IC50,8.84,1.44,8.84,0.00
62,CHEMBL4278951,O=C(CCCCCCC(=O)Nc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1)NO,IC50,8.84,1.44,8.84,0.00
63,CHEMBL3960564,Cc1c(CN)c2ccccc2n1Cc1ccc(C(=O)NO)cc1,IC50,8.84,1.46,8.84,-0.00
64,CHEMBL4562547,Cc1c(CN)c2ccccc2n1-c1ccc(C(=O)NO)cc1,IC50,8.84,1.46,8.84,-0.00
65,CHEMBL3916257,COc1ccc(NC(=O)N2CCC(Nc3ncc(C(=O)NO)cn3)(c3ccccc3)CC2)cc1,IC50,8.82,1.50,8.82,0.00
66,CHEMBL4460552,C[C@H](NC(=O)c1nc(-c2ncc(-c3ccccc3)s2)sc1C1CC1)c1ccc(C(=O)NO)cc1,IC50,8.80,1.59,8.80,-0.00
67,CHEMBL3670674,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2[nH]c(-c3ccsc3)cc2-c2ccc(O)cc2)cc1,IC50,8.80,1.60,8.80,-0.00
68,CHEMBL4243458,CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,IC50,8.80,1.60,8.80,-0.00
69,CHEMBL4170768,CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccc2cn[nH]c2c1,IC50,8.80,1.60,8.80,-0.00
70,CHEMBL3929319,CC(=O)N1CCC(Nc2ncc(C(=O)NO)cn2)(c2ccccc2)CC1,IC50,8.80,1.60,8.80,-0.00
71,CHEMBL3621296,O=C(CCCCC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2)NO,IC50,8.79,1.61,8.79,0.00
72,CHEMBL4285431,CCCN1CC(=O)N2Cc3c(c4cc(OC)ccc4n3Cc3ccc(C(=O)NO)cc3)CC2C1=O,IC50,8.78,1.66,8.78,-0.00
73,CHEMBL3951862,CNC(=O)N1CCC(Nc2ncc(C(=O)NO)cn2)(c2ccccc2)CC1,IC50,8.77,1.70,8.77,-0.00
74,CHEMBL4166281,CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1cccc(N(C)C)c1,IC50,8.77,1.70,8.77,-0.00
75,CHEMBL3977741,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(C(=O)Nc3ccccc3F)CC2)nc1,IC50,8.77,1.70,8.77,-0.00
76,CHEMBL1091815,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(F)cc(F)c3)nn2)c1)NO,IC50,8.77,1.70,8.77,-0.00
77,CHEMBL4100615,CN1C(=O)C2CN(Cc3c2c2ccc4ccccc4c2n3Cc2ccc(C(=O)NO)cc2)C1=O,Ki,8.75,1.78,8.75,-0.00
78,CHEMBL4069283,O=C(CCCCCCCn1cc(-c2ncnc3[nH]ccc23)cn1)NO,IC50,8.74,1.80,8.74,0.00
79,CHEMBL4294153,CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(OCCCCCCC(=O)NO)c3)n2)cc1,IC50,8.74,1.80,8.74,0.00
80,CHEMBL3621293,O=C(CCCCCCNC(=O)Cn1cnc2c(Nc3ccccc3)nc(Nc3ccccc3)nc21)NO,IC50,8.74,1.80,8.74,0.00
81,CHEMBL4532398,C[C@@H]1CN(C(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(CCCCCCC(=O)NO)c4n3)cc2)CCO1,IC50,8.74,1.80,8.74,0.00
82,CHEMBL4294514,CCCN1CC(=O)N2[C@@H](C)c3c(c4ccccc4n3Cc3ccc(C(=O)NO)cc3)C[C@@H]2C1=O,IC50,8.74,1.80,8.74,0.00
83,CHEMBL4285608,COc1cccc(-c2nc(NCc3ccc(C(=O)NO)cc3)cc3c2[nH]c2ccccc23)c1,IC50,8.74,1.80,8.74,0.00
84,CHEMBL4073813,CN1C(=O)C2c3c(n(Cc4ccc(C(=O)NO)cc4)c4ccccc34)CCN2C1=O,Ki,8.73,1.86,8.73,0.00
85,CHEMBL483893,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(CC(O)c3cccc(Br)c3)nn2)c1)NO,IC50,8.72,1.90,8.72,0.00
86,CHEMBL1088736,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(CO)cc(CO)c3)nn2)c1)NO,IC50,8.72,1.90,8.72,0.00
87,CHEMBL2414098,O=C(CCCCCCc1nc2ccc(Br)cc2[nH]1)NO,IC50,8.72,1.90,8.72,0.00
88,CHEMBL4577299,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CS(=O)(=O)CC3)cc1,IC50,8.72,1.90,8.72,0.00
89,CHEMBL3339030,O=C(CCCCCCC(=O)Nc1cc2c(Nc3ccc(O[C@H]4CCOC4)c(Cl)c3)ncnc2s1)NO,IC50,8.72,1.90,8.72,0.00
90,CHEMBL3963102,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(C(=O)Nc3ccccc3)CC2)nc1,IC50,8.72,1.90,8.72,0.00
91,CHEMBL1631913,COc1cc2cc(c1)COc1ccccc1NC(=O)C(CCCCCC(=O)NO)OC/C=C\2,IC50,8.71,1.97,8.71,-0.00
92,CHEMBL3655971,O=C(NO)c1cnc(NC2(c3cccc(Cl)c3)CC2)nc1,IC50,8.70,2.00,8.70,-0.00
93,CHEMBL3655948,CC(C)(Nc1ncc(C(=O)NO)cn1)c1ccccc1F,IC50,8.70,2.00,8.70,-0.00
94,CHEMBL3655984,O=C(NO)c1cnc(NCc2ccc(-c3ccccc3)cc2)nc1,IC50,8.70,2.00,8.70,-0.00
95,CHEMBL3655936,O=C(NO)c1cnc(NCc2ccc(F)c(Cl)c2)nc1,IC50,8.70,2.00,8.70,-0.00
96,CHEMBL3894825,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)OCCCCCC(=O)NO)c(F)c1,IC50,8.70,2.00,8.70,-0.00
97,CHEMBL4087897,COc1ccc(-c2cc(-c3ccoc3)c(C(=O)NCc3ccc(C(=O)NO)cc3)[nH]2)cc1,IC50,8.70,2.00,8.70,-0.00
98,CHEMBL3655959,O=C(NO)c1cnc(NC2(c3ccccc3F)CC2)nc1,IC50,8.70,2.00,8.70,-0.00
99,CHEMBL3923499,Cc1ccc(NC(=O)N2CCC(Nc3ncc(C(=O)NO)cn3)(c3ccccc3)CC2)cc1,IC50,8.70,2.00,8.70,-0.00
100,CHEMBL3655968,O=C(NO)c1cnc(NC2(c3ccccc3C(F)(F)F)CC2)nc1,IC50,8.70,2.00,8.70,-0.00
101,CHEMBL3675764,O=C(CCCCCCN(c1ccccn1)c1cc2ccccc2cn1)NO,IC50,8.70,2.00,8.70,-0.00
102,CHEMBL3655957,CC(C)(Nc1ncc(C(=O)NO)cn1)c1ccc(Cl)c(Cl)c1,IC50,8.70,2.00,8.70,-0.00
103,CHEMBL3961733,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(C(=O)Nc3ccc(F)cc3)CC2)nc1,IC50,8.70,2.00,8.70,-0.00
104,CHEMBL3655932,COc1cc(F)ccc1CNc1ncc(C(=O)NO)cn1,IC50,8.70,2.00,8.70,-0.00
105,CHEMBL3655974,O=C(NO)c1cnc(NC2(c3ccc(CO)cc3)CC2)nc1,IC50,8.70,2.00,8.70,-0.00
106,CHEMBL3670675,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2[nH]c(-c3ccc(O)cc3)cc2-c2ccoc2)cc1,IC50,8.70,2.00,8.70,-0.00
107,CHEMBL4471726,NCc1ccc(-c2nnn(Cc3ccc(C(=O)NO)cc3)n2)cc1,IC50,8.70,2.00,8.70,-0.00
108,CHEMBL3655918,O=C(NO)c1cnc(NCc2ccccc2)nc1,IC50,8.70,2.00,8.70,-0.00
